,,"SFY 2022
Charter Public School Adequacy",Cost of an Opportunity for an Adequate Education ,,,,,,,,,,,Additional Grant1,Grant Calculation,"Final Grant To Charter School Directly

(Subtract Special Education Differential Aid Sent To Responsible District School)"
,,,Base Adequacy,,Differentiated Aid,,,,,,,,Total Calculated Cost of an Adequate Education,,,
,,,,,Federal Free & Reduced (F&R) Price Meal Eligible ,,Receiving Special Education Services (SPED)2,,English Language Learners (ELL),,3rd Grader With A Nonproficient Reading Score (3rd Grade),,,,,
,,,ADM,"$3,786.66 ","F&R 
ADM ","$1,893.32 ","SPED 
ADM","$2,037.11 ","ELL
ADM",$740.87 ,"3rd Grade Reading
ADM",$740.87 ,,"$3,552.28 ","Cost of Adequacy
+
Additional Grant",
,,,"(ADM x $3,786.66)",,"(F&R ADM x $1,893.32)",,"(SPED ADM x $2,037.11)",,(ELL ADM x $740.87),,(3rd Grade ADM x $740.87),,,"(Pupil x $3,479.22)1",,
,,State Total,"6,267","$23,729,928 ",923,"$1,747,959 ",700,"$1,426,062 ",88,"$65,471 ",97,"$71,819 ","$27,041,239 ","$19,704,147 ","$46,745,386 ","$45,319,324 "
725,,Academy of Science and Design Charter School,528,"2,000,530",22,"42,571",12,"24,485",5,"3,704", - , - ,"2,071,291","1,876,705","3,947,996","3,923,511"
731,,Birches Academy of Academics & Arts,222,"840,071",14,"25,591",38,"77,059",1,741,1,741,"944,203","788,073","1,732,276","1,655,217"
707,,Cocheco Arts and Technology Charter Academy,29,"111,063",7,"13,326",2,"4,074", - , - , - , - ,"128,463","104,188","232,651","228,577"
743,,Compass Classical Academy,119,"451,294",74,"140,358",34,"69,163",1,741,1,741,"662,297","423,361","1,085,658","1,016,494"
723,,CSI Charter School,29,"108,904",5,"8,736",8,"15,657",0,367, - , - ,"133,665","102,164","235,828","220,171"
741,,Founders Academy Charter School,372,"1,407,880",67,"127,480",39,"79,956",5,"3,712", - , - ,"1,619,028","1,320,738","2,939,766","2,859,810"
742,,Gate City Charter School for the Arts,152,"573,755",41,"77,445",22,"45,711",2,"1,482",6,"4,445","702,838","538,241","1,241,080","1,195,368"
750,,Gathering Waters Charter School,223,"843,744",25,"48,067",24,"48,699",0,332,8,"5,927","946,768","791,519","1,738,287","1,689,588"
702,,Granite State Arts Academy Charter School,108,"407,066",19,"36,273",13,"26,969", - , - , - , - ,"470,309","381,870","852,179","825,209"
709,,Great Bay Charter School,144,"547,097",46,"87,118",43,"87,747", - , - , - , - ,"721,962","513,233","1,235,195","1,147,448"
708,,Kreiva Academy Public Charter School,159,"602,723",107,"201,997",50,"101,485",3,"2,208", - , - ,"908,414","565,416","1,473,830","1,372,345"
706,,Leaf Charter School,83,"316,148",3,"6,343",8,"16,319",1,741, - , - ,"339,551","296,580","636,131","619,812"
719,,Ledyard Charter Academy,43,"163,546",22,"42,380",10,"19,845",0,86, - , - ,"225,857","153,423","379,280","359,435"
733,,Making Community Connections (MC2) Charter School - Manchester,54,"202,738",14,"26,690",14,"28,429",1,741, - , - ,"258,598","190,189","448,787","420,358"
744,,MicroSociety Academy Charter School of So. NH,251,"951,739",35,"65,883",23,"45,941",21,"15,210",8,"5,780","1,084,554","892,830","1,977,384","1,931,443"
729,,Mill Falls Charter School,168,"634,379",31,"58,760",37,"74,611",13,"9,570",2,"1,530","778,850","595,113","1,373,963","1,299,352"
704,,Mountain Village Charter School,104,"393,017",14,"26,600",14,"28,243", - , - ,5,"3,704","451,565","368,691","820,256","792,013"
740,,Next Charter School ,80,"302,175",22,"42,510",40,"80,925", - , - , - , - ,"425,610","283,472","709,082","628,157"
703,,North Country Charter Academy,45,"171,157",25,"46,619",6,"11,617", - , - , - , - ,"229,393","160,563","389,956","378,339"
716,,Northeast Woodland Chartered Public School,145,"548,649",21,"40,180",16,"32,786", - , - ,11,"8,351","629,967","514,690","1,144,657","1,111,871"
735,,Polaris Charter School,117,"442,585",42,"78,848",21,"43,296",3,"2,223",7,"4,871","571,822","415,190","987,012","943,716"
737,,Robert Frost Charter School,43,"161,539",23,"43,261",3,"6,241", - , - ,1,462,"211,503","151,540","363,043","356,802"
705,,Seacoast Charter School,297,"1,125,585",47,"89,644",51,"103,215",15,"11,096",6,"4,445","1,333,985","1,055,915","2,389,901","2,286,685"
714,,Spark Academy of Advanced Technologies,63,"236,818",2,"3,787",6,"12,269", - , - , - , - ,"252,874","222,160","475,033","462,764"
721,,Strong Foundations Charter School,324,"1,228,468",74,"140,226",73,"149,596",13,"9,628",6,"4,445","1,532,363","1,152,431","2,684,794","2,535,198"
717,,Surry Village Charter School,93,"352,727",33,"62,324",24,"48,891",1,666,3,"1,894","466,501","330,895","797,396","748,506"
727,,Virtual Learning Academy Charter School1,"1,977","7,486,444",67,"126,973",34,"69,554", - , - , - , - ,"7,682,971","4,466,074","12,149,045","12,079,491"
712,,Windham Academy Public Charter School,295,"1,118,087",20,"37,970",36,"73,276",3,"2,223",33,"24,482","1,256,038","1,048,882","2,304,919","2,231,644"
,,"1 Virtual Learning Academy Charter School receives an additional grant amount of $2,258.95 per RSA 194-B:11, I(b)(1)(B).
2 Differential aid for special education is sent to the responsible school district.
",,,,,,,,,,,,,,
